iter	Passed	Remaining
458	801	944
459	802	942
460	803	940
461	805	937
462	806	935
463	807	932
464	809	931
465	811	930
466	812	927
467	813	925
468	814	922
469	815	920
470	816	917
471	818	915
472	819	913
473	820	910
474	821	908
475	823	906
476	826	905
477	827	903
478	828	901
479	829	898
480	830	896
481	831	894
482	833	891
483	834	890
484	836	887
485	837	885
486	839	883
487	840	882
488	841	879
489	843	877
490	844	875
491	845	872
492	846	870
493	848	868
494	849	866
495	850	864
496	852	862
497	854	860
498	855	858
499	856	856
500	857	854
501	858	851
502	859	849
503	860	847
504	863	846
505	864	843
506	865	841
507	867	839
508	868	838
509	870	836
510	871	833
511	872	831
512	873	829
513	874	826
514	875	824
515	876	822
516	878	820
517	879	818
518	880	815
519	881	814
520	883	812
521	884	810
522	885	808
523	886	805
524	888	803
525	889	801
526	890	799
527	891	797
528	892	794
529	893	792
530	895	790
531	896	788
532	898	787
533	899	784
534	900	782
535	901	780
536	902	778
537	904	776
538	905	774
539	906	772
540	908	770
541	909	768
542	910	766
543	912	765
544	914	763
545	915	761
546	916	759
547	918	757
548	919	755
549	920	753
550	922	751
551	923	749
552	924	747
553	926	746
554	929	745
555	930	743
556	931	741
557	933	739
558	934	737
559	937	736
560	939	735
561	941	733
562	943	732
563	944	730
564	946	728
565	947	726
566	948	724
567	950	722
568	952	721
569	953	719
570	955	717
571	957	716
572	959	714
573	960	713
574	962	711
575	964	709
576	965	708
577	967	706
578	969	704
579	973	705
580	975	703
581	976	701
582	978	699
583	979	697
584	981	696
585	982	694
586	985	693
587	988	692
588	989	690
589	991	688
590	992	687
591	995	686
592	997	684
593	998	682
594	1001	681
595	1003	680
596	1004	678
597	1006	676
598	1007	674
599	1008	672
600	1010	670
601	1011	669
602	1013	666
603	1014	665
604	1016	663
605	1018	661
606	1019	660
607	1020	658
608	1022	656
609	1023	654
610	1025	652
611	1026	650
612	1027	648
613	1029	647
614	1031	645
615	1032	643
616	1033	641
617	1035	639
618	1036	637
619	1037	635
620	1039	634
621	1040	632
622	1041	630
623	1043	628
624	1046	627
625	1047	625
626	1048	623
627	1049	621
628	1051	620
629	1052	618
630	1054	616
631	1055	614
632	1056	612
633	1058	610
634	1059	609
635	1061	607
636	1062	605
637	1064	603
638	1065	602
639	1066	600
640	1068	598
641	1069	596
642	1070	594
643	1072	592
644	1074	591
645	1076	589
646	1077	587
647	1079	586
648	1080	584
649	1081	582
650	1082	580
651	1084	578
652	1085	576
653	1086	574
654	1088	573
655	1090	571
656	1091	569
657	1092	567
658	1094	566
659	1095	564
660	1096	562
661	1098	560
662	1099	558
663	1100	556
664	1101	555
665	1103	553
666	1105	552
667	1106	550
668	1107	548
669	1109	546
670	1110	544
671	1111	542
672	1113	540
673	1114	539
674	1115	537
675	1117	535
676	1118	533
677	1120	531
678	1121	530
679	1122	528
680	1123	526
681	1124	524
682	1125	522
683	1127	520
684	1128	519
685	1130	517
686	1131	515
687	1133	514
688	1134	512
689	1136	510
690	1137	508
691	1138	506
692	1141	505
693	1143	504
694	1146	502
695	1148	501
696	1150	499
697	1151	498
698	1152	496
699	1153	494
700	1155	493
701	1157	491
702	1159	489
703	1160	487
704	1162	486
705	1164	484
706	1165	482
707	1166	481
708	1167	479
709	1169	477
710	1170	475
711	1171	473
712	1172	472
713	1173	470
714	1175	468
715	1177	467
716	1178	465
717	1180	463
718	1181	461
719	1182	459
720	1183	457
721	1184	456
722	1185	454
723	1187	452
724	1188	450
725	1189	448
726	1191	447
727	1193	445
728	1194	443
729	1195	442
730	1196	440
731	1197	438
732	1198	436
733	1200	435
734	1201	433
735	1202	431
736	1203	429
737	1205	427
738	1207	426
739	1208	424
740	1209	422
741	1210	420
742	1212	419
743	1213	417
744	1215	415
745	1216	414
746	1217	412
747	1219	410
748	1220	409
749	1223	407
750	1224	405
751	1225	404
752	1226	402
753	1227	400
754	1229	398
755	1230	397
756	1232	395
757	1233	393
758	1235	392
759	1237	390
760	1239	389
761	1241	387
762	1242	386
763	1244	384
764	1245	382
765	1246	380
766	1248	379
767	1250	377
768	1252	376
769	1253	374
770	1255	372
771	1256	371
772	1257	369
773	1259	367
774	1260	366
775	1261	364
776	1263	362
777	1265	361
778	1268	359
779	1269	358
780	1275	357
781	1276	355
782	1277	354
783	1281	353
